Lag,variable,value,ID,age,exp,sex,trial_num
-1,33.25,0.11165745003360766,H27-14,957,indivi,M,1
0,33.25,-0.40812723115732447,H27-14,957,indivi,M,1
1,33.25,-0.40812723115732447,H27-14,957,indivi,M,1
2,33.25,-0.32725379578254393,H27-14,957,indivi,M,1
3,33.25,-0.24999999999999997,H27-14,957,indivi,M,1
-3,34.54,0.6001597513819467,H27-14,957,indivi,M,1
-2,34.54,0.6314421312245398,H27-14,957,indivi,M,1
-1,34.54,0.11165745003360766,H27-14,957,indivi,M,1
0,34.54,-0.40812723115732447,H27-14,957,indivi,M,1
1,34.54,-0.40812723115732447,H27-14,957,indivi,M,1
2,34.54,-0.40812723115732447,H27-14,957,indivi,M,1
3,34.54,-0.32725379578254393,H27-14,957,indivi,M,1
-3,35.83,0.5839252623493227,H27-14,957,indivi,M,1
-2,35.83,0.6039227028407379,H27-14,957,indivi,M,1
-1,35.83,0.06399180957252855,H27-14,957,indivi,M,1
0,35.83,-0.475939083695681,H27-14,957,indivi,M,1
1,35.83,-0.40812723115732447,H27-14,957,indivi,M,1
2,35.83,-0.40812723115732447,H27-14,957,indivi,M,1
3,35.83,-0.40812723115732447,H27-14,957,indivi,M,1
-3,37.12,0.5609068851998001,H27-14,957,indivi,M,1
-2,37.12,0.5819936102073114,H27-14,957,indivi,M,1
-1,37.12,0.01265203500450676,H27-14,957,indivi,M,1
0,37.12,-0.5566895401982979,H27-14,957,indivi,M,1
1,37.12,-0.4759390836956809,H27-14,957,indivi,M,1
2,37.12,-0.40812723115732447,H27-14,957,indivi,M,1
3,37.12,-0.40812723115732447,H27-14,957,indivi,M,1
-3,38.41,0.5403734488325951,H27-14,957,indivi,M,1
-2,38.41,0.5630782155902673,H27-14,957,indivi,M,1
-1,38.41,-0.049950486866878537,H27-14,957,indivi,M,1
0,38.41,-0.44198612621601613,H27-14,957,indivi,M,1
1,38.41,-0.3711263601321986,H27-14,957,indivi,M,1
2,38.41,-0.3172927224637873,H27-14,957,indivi,M,1
3,38.41,-0.2720848207715497,H27-14,957,indivi,M,1
-3,39.7,0.5303300858899107,H27-14,957,indivi,M,1
-2,39.7,0.555583899503716,H27-14,957,indivi,M,1
-1,39.7,0.37038926633581065,H27-14,957,indivi,M,1
0,39.7,,H27-14,957,indivi,M,1
1,39.7,,H27-14,957,indivi,M,1
2,39.7,,H27-14,957,indivi,M,1
3,39.7,,H27-14,957,indivi,M,1
-3,1.0,-0.3443851998560749,H27-14,957,indivi,M,2
-2,1.0,-0.15242719859761897,H27-14,957,indivi,M,2
-1,1.0,0.025827146882642097,H27-14,957,indivi,M,2
0,1.0,0.2721698361839145,H27-14,957,indivi,M,2
1,1.0,0.02456630951235209,H27-14,957,indivi,M,2
2,1.0,-0.09484981269303912,H27-14,957,indivi,M,2
3,1.0,-0.14441647138065988,H27-14,957,indivi,M,2
-3,2.29,-0.2753051705956994,H27-14,957,indivi,M,2
-2,2.29,0.17080775668397666,H27-14,957,indivi,M,2
-1,2.29,0.4542132573156994,H27-14,957,indivi,M,2
0,2.29,0.40057585537961216,H27-14,957,indivi,M,2
1,2.29,-0.09207549282422366,H27-14,957,indivi,M,2
2,2.29,-0.1582023270613594,H27-14,957,indivi,M,2
3,2.29,-0.237088432454113,H27-14,957,indivi,M,2
-3,3.58,0.037710803423735145,H27-14,957,indivi,M,2
-2,3.58,0.6362566784474843,H27-14,957,indivi,M,2
-1,3.58,0.5742852902954155,H27-14,957,indivi,M,2
0,3.58,0.5269864439710861,H27-14,957,indivi,M,2
1,3.58,0.04748790887116723,H27-14,957,indivi,M,2
2,3.58,-0.4320106262287515,H27-14,957,indivi,M,2
3,3.58,-0.3605572801202146,H27-14,957,indivi,M,2
-3,4.87,0.05463364731355526,H27-14,957,indivi,M,2
-2,4.87,0.6671502697320559,H27-14,957,indivi,M,2
-1,4.87,0.6012592329532656,H27-14,957,indivi,M,2
0,4.87,0.6087020825604975,H27-14,957,indivi,M,2
1,4.87,0.03794854261802172,H27-14,957,indivi,M,2
2,4.87,-0.4447792421553427,H27-14,957,indivi,M,2
3,4.87,-0.2745688671774512,H27-14,957,indivi,M,2
-3,6.16,0.11615976729114519,H27-14,957,indivi,M,2
-2,6.16,0.6828735337447229,H27-14,957,indivi,M,2
-1,6.16,0.6920252382947789,H27-14,957,indivi,M,2
0,6.16,0.7013922411831557,H27-14,957,indivi,M,2
1,6.16,0.13794048430205288,H27-14,957,indivi,M,2
2,6.16,-0.45778052929536384,H27-14,957,indivi,M,2
3,6.16,-0.2863937926729177,H27-14,957,indivi,M,2
-3,7.45,0.11348918770389002,H27-14,957,indivi,M,2
-2,7.45,0.6074088943724854,H27-14,957,indivi,M,2
-1,7.45,0.6151285603294357,H27-14,957,indivi,M,2
0,7.45,0.7285367041876081,H27-14,957,indivi,M,2
1,7.45,0.1593214996174863,H27-14,957,indivi,M,2
2,7.45,-0.39466214395773275,H27-14,957,indivi,M,2
3,7.45,-0.15623279993984984,H27-14,957,indivi,M,2
-3,8.74,0.01703500884670835,H27-14,957,indivi,M,2
-2,8.74,0.534185380330772,H27-14,957,indivi,M,2
-1,8.74,0.6691215433747308,H27-14,957,indivi,M,2
0,8.74,0.8135300287606252,H27-14,957,indivi,M,2
1,8.74,0.19486897140207324,H27-14,957,indivi,M,2
2,8.74,-0.38049383018432625,H27-14,957,indivi,M,2
3,8.74,-0.12535139186249122,H27-14,957,indivi,M,2
-3,10.03,0.024098635629556827,H27-14,957,indivi,M,2
-2,10.03,0.3290273260324298,H27-14,957,indivi,M,2
-1,10.03,0.46992339477635836,H27-14,957,indivi,M,2
0,10.03,0.543410165710406,H27-14,957,indivi,M,2
1,10.03,0.5393481837341819,H27-14,957,indivi,M,2
2,10.03,-0.3053648101462375,H27-14,957,indivi,M,2
3,10.03,-0.2751894703243786,H27-14,957,indivi,M,2
-3,11.32,-0.16483941177571282,H27-14,957,indivi,M,2
-2,11.32,0.13754797309110448,H27-14,957,indivi,M,2
-1,11.32,0.10464080612220913,H27-14,957,indivi,M,2
0,11.32,0.527265312174062,H27-14,957,indivi,M,2
1,11.32,0.2021853018144512,H27-14,957,indivi,M,2
2,11.32,-0.1336306209562122,H27-14,957,indivi,M,2
3,11.32,-0.5121475197315839,H27-14,957,indivi,M,2
-3,12.61,-0.12727550089310427,H27-14,957,indivi,M,2
-2,12.61,0.13818202799333643,H27-14,957,indivi,M,2
-1,12.61,0.4433399526411463,H27-14,957,indivi,M,2
0,12.61,-0.2446795103765596,H27-14,957,indivi,M,2
1,12.61,0.5525467122999322,H27-14,957,indivi,M,2
2,12.61,0.531302260525873,H27-14,957,indivi,M,2
3,12.61,0.04022770752548011,H27-14,957,indivi,M,2
-3,13.9,-0.24229808437939218,H27-14,957,indivi,M,2
-2,13.9,0.3720326659021623,H27-14,957,indivi,M,2
-1,13.9,-0.2053249881828469,H27-14,957,indivi,M,2
0,13.9,-0.33603921806525605,H27-14,957,indivi,M,2
1,13.9,0.20596501580648383,H27-14,957,indivi,M,2
2,13.9,0.7892627152699601,H27-14,957,indivi,M,2
3,13.9,0.43563495623340087,H27-14,957,indivi,M,2
-3,15.19,0.00812149677384875,H27-14,957,indivi,M,2
-2,15.19,-0.49447450440383695,H27-14,957,indivi,M,2
-1,15.19,-0.5040276727198837,H27-14,957,indivi,M,2
0,15.19,-0.16084014420813267,H27-14,957,indivi,M,2
1,15.19,0.29736388844720724,H27-14,957,indivi,M,2
2,15.19,0.8437565313084944,H27-14,957,indivi,M,2
3,15.19,0.35042046071849103,H27-14,957,indivi,M,2
-3,16.48,-0.4461525244464597,H27-14,957,indivi,M,2
-2,16.48,-0.6482614463151538,H27-14,957,indivi,M,2
-1,16.48,-0.3348786876328678,H27-14,957,indivi,M,2
0,16.48,-0.039317486915722406,H27-14,957,indivi,M,2
1,16.48,0.3698558566546281,H27-14,957,indivi,M,2
2,16.48,0.8967612386792722,H27-14,957,indivi,M,2
3,16.48,0.42910235449790984,H27-14,957,indivi,M,2
-3,17.77,-0.4319894496830665,H27-14,957,indivi,M,2
-2,17.77,-0.6148415776153295,H27-14,957,indivi,M,2
-1,17.77,-0.3119187295313966,H27-14,957,indivi,M,2
0,17.77,0.04106678114151674,H27-14,957,indivi,M,2
1,17.77,0.5324379684318058,H27-14,957,indivi,M,2
2,17.77,0.9280525393089065,H27-14,957,indivi,M,2
3,17.77,0.4939425392708744,H27-14,957,indivi,M,2
-3,19.06,-0.4048694101284831,H27-14,957,indivi,M,2
-2,19.06,-0.5845199721470707,H27-14,957,indivi,M,2
-1,19.06,-0.17141805660563514,H27-14,957,indivi,M,2
0,19.06,0.09788738337790315,H27-14,957,indivi,M,2
1,19.06,0.5243713634935868,H27-14,957,indivi,M,2
2,19.06,0.9508553436092705,H27-14,957,indivi,M,2
3,19.06,0.6335701554570716,H27-14,957,indivi,M,2
-3,20.35,-0.33309508603000265,H27-14,957,indivi,M,2
-2,20.35,-0.37931981382530366,H27-14,957,indivi,M,2
-1,20.35,-0.09462987473063439,H27-14,957,indivi,M,2
0,20.35,0.09581785653588176,H27-14,957,indivi,M,2
1,20.35,0.5292743388037086,H27-14,957,indivi,M,2
2,20.35,0.9558510093207726,H27-14,957,indivi,M,2
3,20.35,0.5842592734649517,H27-14,957,indivi,M,2
-3,21.64,-0.19954334392419434,H27-14,957,indivi,M,2
-2,21.64,-0.29496068252700935,H27-14,957,indivi,M,2
-1,21.64,-0.10140328957810851,H27-14,957,indivi,M,2
0,21.64,0.09225163471788768,H27-14,957,indivi,M,2
1,21.64,0.5316359979642693,H27-14,957,indivi,M,2
2,21.64,0.9609882165226858,H27-14,957,indivi,M,2
3,21.64,0.5892617922953913,H27-14,957,indivi,M,2
-3,22.93,-0.19621393082713204,H27-14,957,indivi,M,2
-2,22.93,-0.3930958599751288,H27-14,957,indivi,M,2
-1,22.93,-0.15062672365877283,H27-14,957,indivi,M,2
0,22.93,0.09186831133367868,H27-14,957,indivi,M,2
1,22.93,0.5342141476591628,H27-14,957,indivi,M,2
